epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,108.181,1.42043,3.53825,1.36668,0.01748,0.74562,0.07759,0.04774,1.08866,3.53938,1.02609,0.0002375,0.0002375,0.0002375
2,224.243,1.22304,1.96721,1.12942,0.76642,0.26946,0.4418,0.29596,1.17893,2.49171,1.05296,0.000463369,0.000463369,0.000463369
3,332.728,1.22406,1.51424,1.12899,0.51243,0.49931,0.47283,0.31281,1.23312,1.94118,1.14255,0.000664488,0.000664488,0.000664488
4,440.004,1.13238,1.34797,1.11475,0.53593,0.49259,0.47568,0.29335,1.24241,1.73479,1.14482,0.000840856,0.000840856,0.000840856
5,546.977,1.10872,1.2492,1.08622,0.56677,0.64349,0.59435,0.39094,1.15793,1.67573,1.07446,0.000992475,0.000992475,0.000992475
6,646.267,1.10549,1.15122,1.08727,0.75211,0.60033,0.72804,0.46441,1.19918,1.38751,1.1107,0.000940625,0.000940625,0.000940625
7,743.469,1.07286,1.08166,1.08771,0.67484,0.66317,0.65043,0.41455,1.22477,1.53827,1.16154,0.00087875,0.00087875,0.00087875
8,840.717,1.03908,1.04875,1.07424,0.73903,0.69434,0.73388,0.4733,1.15567,1.29985,1.10525,0.000816875,0.000816875,0.000816875
9,952.316,1.02577,1.00192,1.04583,0.69928,0.69781,0.75302,0.49716,1.09489,1.19613,1.09833,0.000755,0.000755,0.000755
10,1057.17,1.02561,0.98168,1.05392,0.77656,0.75537,0.79711,0.51556,1.12165,1.09516,1.09306,0.000693125,0.000693125,0.000693125
11,1153.26,0.99494,0.99376,1.01467,0.77178,0.69354,0.73003,0.50061,1.10038,1.17831,1.09345,0.00063125,0.00063125,0.00063125
12,1242.54,0.93272,0.90921,1.00362,0.8332,0.77455,0.83785,0.56628,1.09124,0.99439,1.08188,0.000569375,0.000569375,0.000569375
13,1332.67,0.93869,0.87337,0.99761,0.82264,0.76228,0.82467,0.56701,1.07541,0.98467,1.07838,0.0005075,0.0005075,0.0005075
14,1422.07,0.90913,0.83844,0.97924,0.84745,0.78781,0.8459,0.58679,1.04563,0.93248,1.05428,0.000445625,0.000445625,0.000445625
15,1511.7,0.88433,0.78988,0.96665,0.78739,0.74636,0.81548,0.56653,1.0663,1.02229,1.07517,0.00038375,0.00038375,0.00038375
16,1602.03,0.87278,0.75647,0.97413,0.84668,0.75218,0.83946,0.57814,1.03288,0.93138,1.05935,0.000321875,0.000321875,0.000321875
17,1696.05,0.84648,0.74593,0.96275,0.83614,0.78832,0.84704,0.57626,1.04048,0.91124,1.04958,0.00026,0.00026,0.00026
18,1792.25,0.84211,0.72858,0.96072,0.81044,0.79964,0.83777,0.56893,1.04091,0.89738,1.05828,0.000198125,0.000198125,0.000198125
19,1895.13,0.84072,0.70202,0.9544,0.82136,0.77957,0.82886,0.56524,1.04092,0.88594,1.067,0.00013625,0.00013625,0.00013625
20,1998.69,0.82645,0.70101,0.9449,0.82641,0.79166,0.83883,0.58035,1.02501,0.86351,1.05295,7.4375e-05,7.4375e-05,7.4375e-05
